Cleaned_Review,Sentiment
low light camera quality iphone good like nokia lumia optical image stabalizer iphone,Positive
hey apple love company ill want u guys b samsung others listen compared galaxy siphone sucks camera wise display wiseos wise etc something men apple something improve products im waiting see changes,Positive
talking transfering music old fashionnowadays people entire music library world music synced devices including itunes librarygone days transferring one device otherlong ago look sd slots transfer music via bluetooth usb always wanting fm radio network bad,Negative
anonymous jul agree ios user still dont know android could apple usemorewhy even commenting go comment lagging android,Positive
anonymous jul agree ios user still dont know android could apple usemoreiphone cant download songs video different websitesspotify apple music netflix etcable download songs videos using thirty party apps cant add music libraryspotify apple musicyou cant change quality youtube video using mobile data planhavent noticed video looks good third party youtube appsiphone cant download apps app store mb via mobile datai wifi havent problems inside mb also fits almoat anything else big gamesiphone cant bluetooth nonapple devicesnever neededyou always need storage due unexpandable storage buy gb variantthen buy bigger variant gb model working great gb model noticed dont need much space bought ipad,Positive
anonymous jul agree ios user still dont know android could apple usemoreios pretty much android living prisonbest statement ever seen regarding apple,Positive
anond jul many restrictions apple products cant download songs video dimorei agree ios user still dont know android could apple users living restricted world different north korea people dont freedom confined state life iphone cant download songs video different websites able download songs videos using thirty party apps cant add music library cant change quality youtube video using mobile data plan iphone cant download apps app store mb via mobile data iphone cant bluetooth nonapple devices always need storage due unexpandable storage buy gb variant ios pretty much android living prison,Negative
anond jul one suggest iphone iphone iphone,Neutral
anond jul thank much suggestion mate guess wait come hope mimoreit better battery life,Positive
anond jul force touch could big game changer least apple thinks apple order recmorethank much suggestion mate guess wait come ini hope might better battery life better camera better everything,Positive
anond jul please elaborate major differencesforce touch could big game changer least apple thinks thatapple order recordbreaking million force touchequipped iphone modelsi would recommend wait months buy price iphone,Positive
deleted postwhich one suggest iphone iphone,Neutral
anond jul get help man sound like total lunatic take breath whileok,Positive
anond jul iphone launched september yearcan please elaborate major differences,Positive
anond jul hello everyone planning buy iphone anyone please tell iphonemoreiphone launched september year,Positive
pear jun seems way speaking find iphones precious find androidmoreindirectly giving hint samsung galaxy,Positive
die hard apple fan go iphone else go android yes iphone lag free user experience many restrictions period time advisable go android invest samsung galaxy great phone,Positive
anonymous jun r disadvantages iphone im judge jz wan na learn experiencemorefrom toms guide site iphone rank rd term fastest phone galaxy st lg g nd ranking would go lg awesome genuine leather design least know leather doesnt scratch break like aluminum glass back cover,Positive
anond jun dont believe one second use flagship android device previous morewhat r disadvantages iphone im judge jz wan na learn experienced iphone user need know pros n cons burn huge amount money honest opinions pleazeeee,Positive
anond jun dont believe one second use flagship android device previous morelike bring past android phones ok let tell iphone experience time given hype biased ifans told best phone available took year contract device found battery draining fast always plugged charger gaming web surfing watching videos first month owning device months owning device realised stopped using device anything phone wasnt worth hassle charging times day used laptop entertainment web surfing gaming watching videos months first serious problem time commen problem power button stopped working phone went first fix apple phone returned wasnt holding charge power button failure send back wasnt charging got hot couldnt leave charge night case fell sleep fire start worried heating got phone back granted lasted weeks warranty time display wouldnt work needed replacing point took place sold broken iphone parts enough phone wanted rid dam thing went early upgrade got self better battery better screen stopped using computer much time owning issues sold phone good condition first got iphone edge moment owned nexus iphone owned still used mother law today reason iphone wife purchased gift sentimental like admit took surprise find self using device quite often still find device much restricted edge means match next time pop older android models remember iphones plenty problems aswel,Positive
anonymous jun noticed didnt mention android device apparently using whys may bemorei dont believe one second use flagship android device previous comments madewhy millions people currently jumping android new bigger iphones,Positive
anonymous jun low end android lag cost cheap high end android lag cost like iphone os stuck upmoreagain idea android even lollipop done sometime unless use devices knowledge performance os take random guesses find random info web get negative feedback biased users like self also give incorrect information wonder people pop comments try educate self trying educate others,Negative
anonymous jun noticed didnt mention android device apparently using whys may bemorelow end android lag cost cheaphigh end android lag cost like iphone os stuck update yr many still waiting lollipopiphone always improving ios coming existing ios usersso basically speaking iphone still better deal need smart discover android fanboys think hard brain explode number specs failed realise basic thing specs gives much gain botherits like diy pc spend money get gtx titan weak core whats use android makers always brag one thing dismiss lopsided design big resolution camera weak storage options high density screen weak gpu plus forget unoptimised android os people stuck older version even freezing app versions developers also choice backward support sdk sad,Negative
anond jun real benefit open source operating system androidnothing already used yomorenoticed didnt mention android device apparently using whys may either using old device lying dont believe one second use flagship android device previous comments made iphones ipads brand name fact simple children use,Neutral
anond jun real benefit open source operating system androidnothing already used yomoreit seems way speaking find iphones precious find android precious fair enough might trick want phone thingssmall things like nfc one desk example set make sure wake morning like go coffee local coffeeshop charge phone wirelessly like film cameras time catch reaction whatevers happening simultaneously like multitaskwatch youtube reply message without quit one like widgets know theres heavy campaign ilovers make humans think need like theyre funny helpfulweather music notepad calendarmy phone looks awesome like ringtone set game thrones theme song witout pay however much apple charging like uninstall unecessary million apps phone comes preloaded withi like able use phones bluetooth device use phone remote control absolutely device use mine control ac imac lg tv etc like phone come back home end night little battery left dont get started backbutton phone looks feels premium actually heavy paid campaigners implemented consumers mindset iphones look cheap methese reasons like android flagship apple solve issues consider iphone unlucky enough iphone months really dreadful,Positive
well ive iphone user scs tell start using apple device find best fast less virus risks performing elegant looking clear bought note samsung well bad apple clearly better wide gap samsung trying remain competetive market copying whatever new features created apple selling similar product apples cheaper price strategy seems work number samsung users increasing point long story short youre looking approximatively specifications iphone cheaper price go samsung might performing iphone costs less personally im satisfied except small details,Positive
pear jun quite delusional think people buy iphones quality saimorewell said absolutely agree comment,Positive
pear jun quite delusional think people buy iphones quality saimorewhat real benefit open source operating system androidnothing already used precious androidwith stock custom romi really bored thati dont see important customization specification thatnow enjoying ios iphone ios important features specifications smartphone,Positive
anonymous jun need wonder people buy iphone hassle smooth operating mobile fomorefor understand technology hand also marvel iphone impressive piece technology every bit considered size dimension battery cpu screen considered weigh provide optimum performance user friendliness well said agree back time tech nerd used computers since blackwhite grew computers spec geek numbers everything got interested iphone ggs like doesnt feel good choice paper yet saw videos youtube totally blown away smooth devices already decided try released iphone gs everything thought tech computers numbers didnt mean anything anymore even three years gs release surprised performance nothing really changed since apple still teaching millions others true performance things really matter cant well course shouldnt buy computer chosing fastest biggest numbers paper parts work perfectly together software get best performance user experience thats apple devices every part software together makes iphone ipad good millions single features single hardware parts,Positive
apple made first phablet samsung made back apple announcing make flexible curve screen iphone samsung made since last year also finally ditch ips display replaced oled samsung using superamoled many years apple iphone always years behind samsung technology samsung probably already years ahead apple virtual reality augmented reality hologram flexible samsung youm display,Positive
anonymous jun need wonder people buy iphone hassle smooth operating mobile fomoreyou quite delusional think people buy iphones quality said tech publication puts iphone top position best smartphone world actually rarely makes top one whilst running relatively decent better nexus note lg g got bored quickly incredibly limited iphones good older people dont know customize android know customize android takes seconds learn make android times simpler iphonealso people care camera battery important feature iphone yet behind flagships yes cores rams dont matter quite much closedoperating system like ios mp matterposting iphone pictures inch imac looked horrendoussome people like zoom blow pictures upanyway simple mate stick iphones one telling otherwise stopping talking things dont understand continue buying cheap looking phone year year oh yes look cheap matter much advertisers paid say looks premium iphones look terrible compared flagships mainly half phone bezels screen buy phone want look screen whatever cheap metal iphones made ofso go order bit extra fun better camera good battery life nicer looking phone iphone sould top choice x,Positive
anonymous jun need wonder people buy iphone hassle smooth operating mobile fomoreperhaps try using devices able opinion mention apparent lag use flagship device find hardly lag works smooth views show used new android devices understand capability yes agree numbers dont count thats lot phone owners look example use iphone phone use android device entertainment like streaming movies playing games purposes android device ideal g best cameras also mention easy iphones use android devices preference,Positive
cheaper wont think twice buy,Neutral
anonymous jun wonder many people buy iphones hmmm httpwwwzerohedgecomnewsdumbmoreno need wonderpeople buy iphone hassle smooth operating mobilefor people dumb digging tech sites try evaluate benchmarks os hardware discussing specs trust five senses end product fast smooth cares coresfor understand technology hand also marvel iphone impressive piece technology every bit considered size dimension battery cpu screen considered weigh provide optimum performance user friendliness cares k display end lagging like crap cares mp camera gb internal slow sd card even keep recording spaceso happens buy iphones price smart research consider enough,Positive
anond jun lets talking lifespan undeveloped country like mine iphone still commonmorethats bad example apple stopped making iphone still selling countries either used produced old stock country uk could buy high street shop along years warranty iphone even still get contract devices lasting longer still see people using samsung,Negative
sam jun someone help clear app cache iphone consuming lot memory please remember smartphone powered android,Positive
smartphone shoul smart enogh capable everythingit said smartphoneits icraplook android samsungthey capable everythingapple upgrading features slowly people attract every new iphoneand every new iphone fast making software little bit heavier previous model become slowwhen new samsung released exells departments apple making solid reason update new iphoneipbig screenipsfingerprintiplarger screenssiricamresolutionin software update apple releasing bug destroyed updatingforcing people update,Positive
problem whatsapp,Negative
someone help clear app cache iphone consuming lot memory,Positive
iphone bestbut disadvantage prisoner ituneson sidethe androidhave free apps freedomin opinion android goodiphone people ready buy iphone affordable pay appsgo android flagshipswhy pay suffer,Negative
battery good fast performance,Positive
jun get iphone run games better get ps colombia price iphomorebetter buy hard carry ps cost freedom negative positive pay high price device want run perfectly want run everything perfectly download buy wouldnt buy ps buy laggy games right expect run everything perfectly paid lot device understand buy midend android cant run everything buy highend android able run everything perfectly like iphone,Positive
get iphone run games better get ps colombia price iphoneit could good ph doesnt deserve waste lots money freedom allstill android makes feel phone itunes device,Positive
anonymous jun stop comparing old phones wich dont bits processors iphone pathetic sisnt samsung problem clearly doesnt get people doesnt care something lags slow doesnt help anyway want smooth device runs everything without excuses thats iphone sells extremely well,Negative
samsung outdated soon iphone iphone alwaysthey recoganisedapple gives updates long period sumsung allmost forgets older devises new devices announcedeven iphone recoganised latest samsung phonesif samsung release note everyone run note almost forget swhen devices get older appear iphone section starts complaining,Negative
anond jun would like see iphone performs higest resolution better galamoreand stop comparing old phones wich dont bits processors iphone pathetic,Negative
anond jun way iphone p screen doesnt problem run games iphone hmorei never said apple cant capable achieving good performance hi resolutions day give companies give default sure charge one kidney still prisoners itunes pay handsomely lets see price ips disent camerampand ramgb,Negative
anonymous jun game play starts p setings wile display alfa p playable setmoreby way iphone p screen doesnt problem run games iphone hardware powerfulalso next iphone rumoured k screen thats going happen bet still going run everything perfectly,Positive
anonymous jun game play starts p setings wile display alfa p playable setmorei would like see iphone performs higest resolutionbetter galaxy alpha sure whats point game already runs perfectly smooth continue long time want galaxy alpha asphalt httpyoutubertwujgfjvkmslow fps cant change graphics setting asphalt runs galaxy alpha doesntor real racing httpyoutubexzbkongvjmcsame bad performance,Positive
always apple doesnt giv penny users healthsar value among highest,Positive
game play starts p setings wile display alfa p playable setings p gameplay alfa flawless put highest resits name video iphoneoops dont even ipis default set res iphone display would like see iphone performs higest resolution cant becose cant switch hi res game viseos yeah state art gadget,Positive
anond jun talking alpha resolution x pixels ppi pixel densitmorethe game play starts p setings wile display alfa p playable setings p gameplay alfa flawless put highest resits name video iphoneoops dont even ipis default set res iphone display,Positive
jun made fool self started p disentwhich iphmorewhat talking dalpharesolution x pixels ppi pixel densityiphone resolution x pixels ppi pixel densityiphone actually higher resolution works perfectly smooth like eveything else toowith alpha game unplayable whole time videobut like said android phones thats ok guys havent experienced smooth gameplay laggy games everyday stuff guys ios users playing perfectly smooth gamesby way iphone settings max default,Positive
anond jun galaxy alpha tiny low screen httpyoutubethowituk gamemoreyou made fool self started p disentwhich iphone cant even try becose iphone cant change resolution switch k previous mentioned impossible iphone continue make laugh quite amusing dont even phone viciously defend,Positive
anond jun sapphire glass coming iphone plus well models kuo statinmorei doubt come sapphire glass anytime soon although scratch proof shatter proof,Negative
true opinion may dont want anyone problems apple os one safest imoreis possible apple installed program breaks phone jailbroken,Positive
anond may u say anything iphonehave u use beforeapple camera best even itmorenope samsung lg g better cameras,Positive
anonymous may iphone hardware old like dual core low mp camera low res display whymoreyes right iphone hardware old iphone hw designed created samsung samsung putting latest hardware phonesactually entire cost iphone software despite using old hardware apple capable great job comparison phoneif watch os launch seminar get know innovations software charges us,Positive
anonymous may iphone hardware old like dual core low mp camera low res display whymorethe aluminum body ios system apple pravicy makes iphone expensive,Negative
phoneis wonderfull im using phone last year think bad phone used phone super camara mp camara likemp hd games like nfs counter strike hanging zooming display like btry nt gud,Positive
anonymous may iphone hardware old like dual core low mp camera low res display whymorethe hardware aint oldyou understand thats confused like android fanboys start blaming different unrelated parties,Negative
phone plus months initially thought dream hell started uploaded face book minute video lost contacts gmail hacked lost contacts email hacked hardest impossible fix phone still fraction old contacts however good news worst events going gmail craigs list ebay uploading pictures like perfect like engine k miles rebuild block called seasoned ready perform wouldnt trade new phone happy emotional price worth guess must bebest regardshenry,Negative
iphone hardware old like dual core low mp camera low res display still expensive expenses coming make iphone expensive compare latest hardware exist android sells cheaper iphone assembled china still expensive everyone always think china cheap status make iphone valued quality iphone c made plastic less cheaper iphone,Positive
tajesh kumar may buying apple products investment ipad runs last software smooth ipmorewas past tense believe win competitor fraction price runs butter smooth p,Positive
anonymous may im dig iphone correct phone investment morego lumia xl pay prices even better battery things iphone overated status lol,Positive
dont want say anything,Negative
pear may yes hold value would prefer actually better competitionmoreexactly,Positive
good buy may buy xiaomi immediately trying sell gets nothing buy iphone moreyes hold value would prefer actually better competition dollar phone race iphones usually bottom want compare xiaomi times cheaper gloat iphone better maybe logic indeed deserve iphone,Positive
buy xiaomi immediately trying sell gets nothingbuy iphone years road still sell good pricesame mac good resell value buy alienware years sell nothing hard time selling unless bundle ms office somethingnothing beat fact iphones macs resellable huge demand,Positive
anonymous may knew novice sprout knowledge investment works simple englismorebefore pretend clever try learning english iphones hold price better brands yes much making try explaining logic properly stop blubbering stuff dont understand,Positive
anonymous may another novice limited knowledge iphone features mentioned perform ymorebefore u say anything iphonehave u use beforeapple camera best even dual core best android quad core smartphonedo research first bashing lol,Positive
anonymous may know whats funny fact one ever compare iphone microsoft lumia flagship morei agree,Positive
anonymous may im dig iphone correct phone investment morei knew novice sprout knowledge investment works simple english investment means buy phone still pertinent couple years come tried adhere context simply aid psyche cease delusional ignoramus note note samsung tablets also samsung note tablets iphone means investment unless youre fiscally reckless,Negative
finally decidediphone delivers models year survives prices donot fall drastically may main feathers cons lke speakers bluetooth bla bla bla even detered customers last seen n indopak even kooli rikshaw derivers clerks still models allen think god gifted everyday nothing sunday apple vast n thin air sunday,Positive
know whats funny fact one ever compare iphone microsoft lumia flagship blackberry flagship always android samsung lg htc get compared,Positive
newbie may way coz tell guys apple device apps yet although havemoredear sign apple id edit select payment mode none save itafter u download apps app store,Negative
anond may jailbreaking locked app like gallery whatsap yes sabba u lock whatsapp apps jailbreak,Positive
anonymous may ahah bs nephew z compact begging parents amorelike developing personality options phonethat argument way kids want iphones indeed dont tell best phone critics industry professionals dont even place top peer pressure brandingis decent phone yesis innovative nois best noare cheaper phones better yesare expensive phones better yesdo kids go crazy yessimple x,Negative
nobody may jailbreak means unlocking locked device locked previously network provider moretotally wrongthats called unlocking,Neutral
anonymous may pure opinion like supporting football team team goomoreahah bs nephew z compact begging parents iphone even iphone thats reality iphones way superior every way addroid cant even go buy gift card buy games addroid blocks kids kinds fun useful stuff,Positive
douche may rooting simply means bypassing orginal designed operating system say apple phmoreonly download outside play store cant install ios cant run android applications,Neutral
anond may jailbreaking locked app like gallery whatsap yes using bioprotect,Positive
iphone get heaten easilyis normal,Neutral
way coz tell guys apple device apps yet although already apple id pass go appstore get free app like facebookm actually telling enter credit card number mean way get app without signing itunes need really help badly new device,Positive
anonymous may okay maybe z doesnt best camera let ask question know rootmorerooting simply means bypassing orginal designed operating system say apple phones ios right time root bypass youd able download android applications,Negative
iphone pause option recording video,Neutral
anonymous may okay maybe z doesnt best camera let ask question know rootmoreof course know rooting like following mobile world dont get point least android users doesnt idea rooting never heard word goes ios users people buy smartphones normal people doesnt care know much devices like people buy computer use small amount potential,Neutral
nobody may jailbreak means unlocking locked device locked previously network provider moreafter jailbreaking locked app like gallery whatsap,Positive
nobody may jailbreak means unlocking locked device locked previously network provider morereally helpfull reply dear,Positive
anond may z best camera lie people people tend use iphones clmoreokay maybe z doesnt best camera let ask question know rooting,Positive
cant seem find serious magazine phone top usually top well done apple making phone comparable flagships finally getting lower spot top si wouldnt buy course well done,Positive
anonymous may pure opinion like supporting football team team goomorez best camera lie peoplepeople tend use iphones closed awareness flagship phonesof course thats many chosing iphoneandroid switchers drive ios adoption europe first quarter,Positive
need advise iphone ive told iphone better iphone iphone camera seriously superb running little bit slower internet browser iphone much stable,Positive
anonymous may think apple iphone better samsung phones value money value price dropmoreseriously iphone look past model especially interface waste money rather jump one brand another,Positive
anonymous may think apple iphone better samsung phones value money value price dropmorethat pure opinion like supporting football team team good players bad players im bashing apple people use people tend use iphones closed awareness flagship phones someone asked day person iphone z good facepalmed pretty hard z currently currently best camera current smartphones undeniable im pretty sure iphone users dont know term rootingcustom roms unlocked bootloader apple doesnt allow freedom using apple products unlike android almost unlimited things root,Positive
deleted postyea page user oppionons haters users actual owners,Negative
pear apr good try though fixed speed anyway rather embarramoreif dont like phone page,Positive
anond apr lags sure might well check complaints httpsdiscussionsapplemoreyeah lets believe brand new created accounts suddenly claiming phones lagging rather experiencefandroid logic,Negative
anonymous apr expectation ios users high android users never understand android usermoreno notgood try though fixed speed anyway rather embarrassingyou talking phone nothingit would disastrous iphones even run relatively quick considering poor os iscustomize noboth cameras time nomultitasking nosplit screen guys still leave apps use others temporarily hahawidgets nonfc notake poorer pictures competition yesthere button phones iphone doesbut phones quicker even twice intuitive customer friendly beloved cheap device,Negative
wow wow wow ios itz ozm,Positive
anond apr httpsdiscussionsapplecomthread want say kunjomonduel amorelatest reply dec,Positive
hrdik apr frndzz plzz answer question supports bluetooth cn share thing anmoreiphone iphone iphone andriod,Positive
anond apr httpsdiscussionsapplecomthread want say kunjomonduel amoreexpectation ios users high android users never understandmost android users use iphone mind blowup speed iphonesios improve overall speed even shames,Positive
httpsdiscussionsapplecomthreadwhat want say kunjomonduel anonymous guys think iphone doesnt lag like lagdroids,Positive
suggest space grayfor fits different colours ipad cover ur goin buy later buying ipad gray colour fits colour methe way colours black white,Neutral
anonymous apr haha wifi wifi everywheretotally agrees wifi everywhere plus wondering apple change metal chasis material kinda prone scratches use flush design front back laminate metal corning gorilla glass hate cover casing giving ideas haters,Negative
anonymous apr want photo song get someone send wifi bro bluetooth morehaha wifi wifi everywhere,Positive
anonymous apr color best champagne gold space grey buying ipad mini within morealso wanted know chamfered edges show scuffing whether pronounced space grey variant notkindly reverti know forum appropriate ask questions ipad hey apple uses processes make use make phones thats told,Positive
color bestchampagne gold space greyi buying ipad mini within days still dont know color buyi going use watching movies casual gaming reading booksplease suggestalso white faceplate show discolouration never owned apple device dont know whether apple resolved problem,Negative
anond apr amount fandroids apple page hilarious anyway good phone lamoreno lags sure might well check complaintshttpsdiscussionsapplecomthread,Positive
amount fandroids apple page hilariousanyway good phone lag whatsoever unlike android,Positive
haters gon na hate us coz aint usd,Negative
amusing email exchange phil schiller apples ad agency back regarding apple lost cool samsung enjoyhttpwwwbusinessinsidercomphilschilleremails,Positive
anonymous apr woryh noting iphone useless one using place user amoreyou install widgets notification center search widgets appstore theres lot also powerbanks easy find iphone,Neutral
absolutely fell love apple got first phone iphone got stolen bought thought would next best thing never buy another apple product wish went samsung galaxy instead phone loses connection earpiece daily go entire days without receiving phone calls voice messages every day conversation person end hear ugh frustrating ive contact carrier mobile thought phone defective ive approx days would work properly needed decide wanted send back kept friend att got phone months ago problems often receiving phone calls heard call lucky cost still owe never buy another apple product paid year warranty program mac book pro approx need contact free charge constantly fix one thing another laptop never problems often even single incident android phone windows walmart acer laptop boo apples new tech never purchase another apple product,Positive
anonymous apr sar iphone highduhh sar doesnt matter mobile phones harmful radiation things sar tell us stupid people believe phone harm anypne strong signal phone sar high possible low sar undeniable proof low transmitting power poor antenna design,Negative
sar iphone high,Neutral
anonymous apr good point critisism apple restrict user spent ages tryingmoreyou influenced windows proprietary file formats,Positive
apr still want buy used sending receiving data daily bmoreyou good point critisism apple restrict user spent ages trying get flac files itunes find support macbook airwent hell trying get documents open would open easily windowsapple made system easy masses use simply good made tricky users need productive,Positive
mike apr haha arrogance apple astounding commanding premium midrange phone ammorei agree annoyingly low res display ruins overall experience less disadvantages droids look xperia z htc higher ppi pretty much good thing galaxys far better cameras still place last due region lock great phones iphones lesser evil big margin good ppi better camera alone doesnt make awful experience droids offer,Positive
joe shmoe mar wait werent asking advise proceed buy iphone smoreno still want buy used sending receiving data daily basis like movies songs work related files needs lots storage capacity memory card support also transfer filesbut confused apple restricts things wont get work done phone still keep spare device time still want buy apple criticize apple os apple android good competition market compared os,Positive
mo apr wow brain power comments amaze apple makes cpus taiwan semimoreobviously easily amassed probably amazed iphone nevertheless theres noting amazing goes apple fans year wasnt made samsung previous made tem next one probably go read truly amazing thing satisfied heavenly happy iphone users apple give camera ip tiny low resolution display smal battery heavy usage manage use phone hours mp selfie camerareally restricted os proper multitasking next imposible gb ramthats realy amazing,Positive
anond mar iphone fast single cores performance even better edge pmoremost apps single core need quadcore stupidity,Neutral
compared current flagships screen truly awful grainy point pactical joke,Positive
haha arrogance apple astounding commanding premium midrange phone among many flaws poor build quality lowres ppi display buyer beware,Negative
mo apr wow brain power comments amaze apple makes cpus taiwan semimoresamsung didnt made chiponly year tsmc made samsung athats fact,Positive
anond mar already tried iosiphone clearly crap better thing im morecompletely false comment non apple user apple appstore lots good qualityfree audio video downloaders browsers egidownloader private browser mercury browser tube video lots trolls like never touched ios device sure,Positive
wow brain power comments amaze apple makes cpus taiwan semiconductor manufacturing company tsmcsamsung make apples cpus fact,Positive
anond mar replying stako troll ignore let moderators remove cmorethat trol beat argument every time live whit noting say thats write true keeping silent noting say,Negative
anond mar iphone fast single cores performance even better edge pmorewhy even posting brags never even tried quoting something red iphone know propobly red iphone processors made samsung many times explain iphone work disent restricted short cut ios thats apple product phonebasicly comparing samsung samsung moust iphone parts made vram flash drive processorits funny,Positive
anond mar phone screen x pixels ppi densityis full hd screen company provimorefirstly use apple products using easily understand,Positive
iphone fast single cores performance even better edgeperformance samsungs octacore exynos found wicked easily besting multicore benchmark scores competitors though apples gain slight advantage singlecore benchmarks devices times uses two cores thats iphone fast everyday use,Positive
mar friend bought new apple phone happy friend clicks selfies mirmorewait werent asking advise proceed buy iphone sarcastic,Positive
anond mar new upcoming silent hill style horror game really shows power ios devices apple metmoreyou consider developer might made game run smoother specific platformos compared others,Negative
deleted postthats legal means yes arent captain obvious,Positive
tumama mar sorry said iphone perfection life good thing apple wmorefor apple perfectionandroid masterpiece,Positive
tumama mar sorry said iphone perfection life good thing apple wmorethere isnt thing called perfect phone overall experience currently clearly iphone winning offers product people like want use especially want buy,Positive
anond mar sorry say android fan iphone perfectionin real lifeiphone smoother lot bmoresorry said iphone perfection life good thing apple well optimized os iphone cheap phone sells like real flagship,Positive
anonymous mar thus say pear phone shop seller claim topped sales shop see apmoreman lost plot one hahado humanity favor stick iphones x,Positive
pancake mar hey guys questions got iphone give try years looks qumorecan put back button really inconvenient home button back button opposite sides screenyou dont need back button swipe part left corner left right back button handy trick works many places try,Negative
anonymous mar big fan phone impartial like use anything sensible degree morei truly cant stand appleand yet wth rant whats wrong people really,Negative
deleted postjust answer comment part story lie issorry noone take serious faultand english yes third language last time studied english years ago dont need english life except reading websites writing blogs sites place use english lifeand education long time ago ten years ago actually good english dont use language almost going forget least many part,Positive
big fan phone impartial like use anything sensible degree freedom apple takes away freedom use cloud make restricted phone nothing special minutes use got board wanted play interesting devices sony samsung even htcapple nothing new offer failed miserably innovate keep changing size phone absolutely nothing new innovative addedi truly cant stand apple really tried hard like everything uneasy restrictive feels like cagei like free,Positive
pancake mar hey guys questions got iphone give try years looks qumore put back button really inconvenient home button back button opposite sides screenone home button design works superbly iphone take video cameras time used friends capture funny reactions time yes appstore dual shoot app job phone water resistantuse water resistant case way leave youtube video conpletely answer whatsapp textyes quick reply option ios uninstall hide unecessary appsyes setting general restrictionsyou disable unwanted apps dont like itunesis app dld free music yes apple appstore lots audio video downloaders freeegidownloader widgets want weather newsfeed etc yes already inbuilt weather weadget also add widgetsis normal overheats much play games lg g used well extentno overheating lagging android features ios dont problemios dont problem guest mode something like mom sister sometimes play want hide tinder apps haha yes ios option normal battery runs fast something wrong dies hours heavy usageios battery eater like lagdriods ram eater like android,Positive
anonymous mar thus say pear phone shop seller claim topped sales shop see apmoreyou seem frustrated individual pear really got,Negative
deleted postthus say pear phone shop seller claim topped sales shophe see apple users uneducated teens justin biber fans crazy frog fans region weird hate combohe believe claims apple cheat money justin biber crazy frog region people zombies apple pricing iphonehe claims owned iphone months gift uncle someone sold got lg g back mama claim long ago past commentshe cant understand english unless properly constructed himhe claims iphone hr hrs battery life rofland yes pear cared got stop lying solve hate issues upgrade job,Negative
third eye mar android fanboys wants put android iphone yes know pretty impressed moreur point pawn allur mannn,Positive
sorry say android faniphone perfectionin real lifeiphone smoother lot better androidthats factandroid isslowbuggy even high specification phonebut android culpriti use android phone modding software freaks end boring even worst end dead phonebut daily usei use iphone hassle even single problembtw like iphone everyday useiphone created perfection,Negative
anond mar true iphone actually much faster single cores android phones thing anmorei disagree mate many benchmarks shows almost android phones quad core ie cores doesnt run even octa core ie cores one two working time makes sense spec sheet doesnt matter also proves way faster iphoneyou see android evolved time,Neutral
anond mar us android users think aple crap specs offers cusmorehaha real life performance good one,Positive
buttman mar android fans care devices visit apple products make sense ehhbecause amusing wind yall apple lovers,Positive
hey guys questions got iphone give try years looks quite cheap jobhopefully put back button really inconvenient home button back button opposite sides screen take video cameras time used friends capture funny reactions time phone water resistant way leave youtube video conpletely answer whatsapp text uninstall hide unecessary apps dont like itunesis app dld free music widgets want weather newsfeed etcis normal overheats much play games lg g used well extent guest mode something like mom sister sometimes play want hide tinder apps haha normal battery runs fast something wrong dies hours heavy usagei asking coming android,Positive
anond mar agree iphone crap put android iphoneiphones work better tmoreagree iphone crap put android iphoneso admit android virus,Positive
third eye mar android fanboys wants put android iphone yes know pretty impressed morewell said bro,Positive
tumama mar tell iam wrong put ios samsung galaxy specs itmorewhy android fanboys wants put android iphoneyes know pretty impressed specificationsocta cores gigs feel every time swipe device thoughts octa core questionsthe demanding oss like windowsmac os still runs fine dual cores gigs called mobile os android need big huge rockets push sound sillyyes die hard apple fans dont want upgrade device every fortnight still using iphone primary phone almost year old still running well ios many android garbage age upgradable recent lolipop without sacrificing performance search custom romapple produce phone os viseversa android big ooz buying android googleadd gimmickstouch uietc make even bulky load big rockets sell,Positive
due respect easy notice generic iphone flagship android buyerthe iphone buyer usually attracted shiny stuff doesnt really care innovation progress rather buy consumerism deceivingly happy pay phone managed form concentric circle patting back personalitydevoid relatively functional device highly appreciated social stance rather quality technological innovationthe flagship android buyer usually educated introspective heshe tends question want smartphone device like help existence whether worth paying heshe want buy like putting little personality phone prefer freedom appsinternetsoftware permissibilitythis way meant insulting invite anybody work phoneshop week notice trends course without exceptions get opposite groups large majority described abovei hope gsmarena wont take post deem term uneducated insultingnothing wrong demeaning noneducated,Positive
stako mar must medium knowing tried havent one sure thou hamorei paid less better cellular devicethe statement prove tried phones bought one cheap android phone denial feel sour grapesbelieve people spent good money good iphone,Positive
anond mar sure dont touched ios device nowgood hereyou must medium knowing tried havent one sure thou paid less better cellular device,Positive
anond mar sure dont touched ios device nowgood herehes trolling,Positive
stako mar android jailbreakfor information good apps games firstly arrives appstore,Positive
stako mar android jailbreaki sure dont touched ios device nowgood,Positive
heck iphone oppo r much better,Positive
blizzard mar dunno anyone else pointed think reason apple chose stick moreif want see put camera greater mp slim body see xiaomi note pro,Positive
kenn mar buy iphone gb open att sim use omorestolen phone,Neutral
buy iphone gb open att sim use one im riyadh saudi arabia one experience,Neutral
anond mar appstore lots good quality free apps including browsers video downloadersso android jailbreak,Positive
stako mar much pay pleasureappstore lots good quality free apps including browsers video downloaders,Positive
stako mar much pay pleasurelower,Negative
last day purchase iphone gold gb good phone see one problem phone shake phone listen voice deeply problem many phone going apple care say care person talk word problem manifecture problem solve itvery bad overall apple good,Negative
spec makes feel like,Positive
